1.026667,1.034000,0.752333,0.737333
1.027667,1.031333,0.700333,0.703333
1.009333,1.015333,0.710667,0.713667
1.039333,1.047667,0.747667,0.740667
1.029667,1.034333,0.726333,0.725333
1.003667,1.010000,0.707333,0.708667
1.014667,1.021667,0.729667,0.727000
1.016333,1.022667,0.712667,0.719333
1.020667,1.026667,0.707333,0.705000
1.003667,1.007333,0.707000,0.701667
1.027667,1.033667,0.712667,0.695333
1.031333,1.035667,0.771000,0.760000
1.010333,1.016333,0.742667,0.722000
1.019000,1.028333,0.732333,0.730000
1.007333,1.012000,0.697000,0.695000
1.040667,1.047333,0.694667,0.693667
1.037000,1.041667,0.727333,0.731667
0.997333,1.007667,0.722333,0.715333
1.053000,1.058667,0.715000,0.709000
1.005000,1.010667,0.791333,0.776000
